id	date	decision	rationale	evidence	result
D001	2026-09-03	Clean-room: Moshi brand/code/assets/protocol will not be copied	IP clause in Moshi Terms requires independent implementation	https://getmoshi.app/terms	plan.md §1.1 + secret-scan gate enforced
D002	2026-09-03	License GPL-3.0-or-later for whole monorepo; CCS published per release	Upstream Mosh is GPLv3; mobile+host+backend distributed together	https://github.com/mobile-shell/mosh	LICENSE + NOTICE + P18 CCS checklist
D003	2026-09-03	Monorepo layout: apps/android, host, backend, protocol, native, deploy, docs, scripts, tests	Single source of truth, atomic proto changes	plan.md §2.1	Created in P00; Buf breaking-check from P01
D004	2026-09-03	minSdk 29 (Android 10), ABIs arm64-v8a + armeabi-v7a + x86_64	Matches product scope; covers 95%+ devices without 32-bit x86 burden	plan.md §2.3	P05 Gradle config must enforce
D005	2026-09-03	Backend single Go service + PostgreSQL, no Redis, single replica v1	Ops simplicity for self-host; Redis unjustified at this scale	plan.md §2.5	P02 docker-compose + backup/restore proves it
D006	2026-09-03	Protocol v1 frozen: host.proto + control.proto, major=1, whitelist AgentEventSummary	Buf lint green + Go golden tests + privacy-schema gate; Kotlin reuses same JSON fixtures in P05	protocol/fixtures/golden-v1.json + go test ./protocol/...	P01 done, P02/P03 unblocked
D007	2026-09-03	Headless-first: emulator/connectedTest skipped on this box	No emulator on device; lint+unit+assembleDebug + Go suites are the gates	testDebugUnitTest 16/16 + app-debug.apk	P05-P16 headless depth done
D008	2026-09-03	Backend routes frozen: pairing/devices/hosts/uploads/webhook/approvals	HTTP race 409, 10MB cap, tenant isolation tests	go test ./backend/...	P02/P13/P15 done
D009	2026-09-03	CLI wired: host/hooks/service/update/doctor-json	QR payload, 12-file merge, idempotent service, unsigned update refused	go run CLI smoke	P03/P04 done
D010	2026-09-03	Real transports live: SSH TOFU localhost + tmux socket + backend HTTP proof	x/crypto dial/run, tmux Ensure/List/Kill, healthz 202/400	go test ./host/ssh ./host/tmux + curl	P06/P09/P02 live
D011	2026-09-03	Release train headless: CLI tarballs 4-arch + SHA256 + SBOM + compose config	package-cli.sh, sbom.sh, compose config OK	dist/* + sbom-go.json	P18 headless done
D012	2026-09-03	Android real SSH via SSHJ (bcprov full provider swap); fake echo only in tests; TOFU dialog pins to app-known_hosts	cbssh needs AOSP-source import unsuitable headless; SSHJ is pure-JVM, Maven-published, covers password+OpenSSH-key auth + PTY + window-change; live proof vs localhost sshd	SshjLiveTest green (TOFU hard-stop -> pin -> key auth -> echo PA_ALIVE_42)	P06 Android-side real transport done headless; Mosh/ET still pending
D013	2026-09-03	TerminalBuffer: satir-tabanli ANSI motoru (SGR renk/256renk, CR overwrite, BS, chunk-split escape+UTF-8 guvenli) + SessionManager coklu oturum	Chunk-basi liste modeli 10MB burstte yeniden-cizim patlatti; satir modeli + batch poll 1.7s/10MB JVM	TerminalBufferTest 8/8 + burst testi + 54/54 unit yesil	P10 terminal cekirdegi headless tavanda tamam
D014	2026-09-03	mosh-client kaynaktan 3 ABI: upstream android branch (2de58be) resmi NDK scripti, llvm-strip, jniLibs/libmoshclient.so + terminfo.zip; hashes native/mosh/SHA256SUMS	plan P07: kaynak zorunlu, hazir .so yasak; Android 10+ W^X icin lib*.so/nativeLibraryDir exec yontemi	ELF aarch64/armv7/x86_64 PIE dogrulandi, APK icinde; roaming kaniti cihaz bekler	P07 derleme tarafi tamam, runtime entegrasyon sirada
D015	2026-09-03	TerminalBuffer v2 ekran modeli: rows x cols hucre, imlec, alt screen (?1049/47/48), DECSTBM bolge, IL/DL/ICH/DCH, DEC grafik charset, SGR bg+inverse, LF yalniz asagi iner (CRLF gercek davranis); scrollback yalniz ana ekrandan	plan P10: tam ekran uygulamalari (vim/htop/tmux) kullanilabilir olmali; satir modeli yetmiyordu	20/20 buffer testi + 67/67 toplam (3 canli: SSH/backend/SFTP); LF-only testi gercek PTY davranisini kilitler	termlib tam VT100 halen buyuk kazanm; bu model gunluk kullanim icin yeterli
D016	2026-09-03	Files tab gercek SFTP browser: SshjTransport SftpSession uygular (list/read/write, 10MB cap), onizleme <64KB, indirme FileProvider ile paylasilir; placeholder jail VM kaldirildi	kullanici istegi: placeholder olmayacak; SFTP SSH oturumu icinde oldugundan ayri auth gerekmez	SftpLiveTest pa-dev ile yeşil (list/read/write/quota/siralama)	upload icerik secici sonraki turda da iyilestirilebilir
D017	2026-09-03	P11 wiring: gateway /ls ve /diff endpointleri + `gateway serve` komutu (flag parse bug duzeltildi: flag paketi ilk non-flag argda durur); Android GatewayTunnel = direct-tcpip uzerinden minimal HTTP/1.0 (port-forward dinleyicisi yok), token SFTP ile 0600 dosyadan RAM e; Files tab SFTP|Workspace modlu	plan P11: loopback-only + jail + token; port-forward yerine kanal-basi baglanti daha az saldiri yuzeyi	GatewayTunnelLiveTest canli: SSH->direct-tcpip->ls/file/401/traversal; 71/71 toplam, lint 0	diff UI simdilik onizleme diyalogu; syntax-highlight diff render sonraki
D018	2026-09-03	OSC52 cihaz panosu + OSC 0/2 baslik + bracketed paste (?2004) + mosh bootstrap (SSH exec mosh-server new, MOSH CONNECT parse, key SSH icinde RAM); UDP client spawn cihazda	plan P07 bootstrap ve P10 gunluk kullanim; bracketed paste cok-satirli paste korumasi	77/77 (5 canli suit: SSH/backend/SFTP/gateway/mosh-bootstrap); VPS te mosh-server 1.4.0 kurulu	native client exec + UDP roaming cihaz testi bekler
D019	2026-09-03	P11 preview ucu + OSC8 hyperlink + bildirimden tumunu kapat + opt-in acilista reconnect (Keystore secret sarti); TerminalControllerTest await timeout 10s (suite yuku altinda flake)	plan P11 preview yuzeyi tamamlandi; gunluk kullanim (acilista baglan) kullanici istegi	78/78 + lint 0; OSC8 test link span ayristirmayi kilitler; reconnect yalniz saklanmis secret ile	preview WebView degil metin onizleme (gvenlik: render yok)
D020	2026-09-03	Onay bildirimi (EventSync->NotificationManager, agents kanali, IMPORTANCE_HIGH) + baglanti arama (3+ hostta) + Robolectric Compose UI test altyapisi (ui-test-junit4, TerminalScreen smoke) + preview canli kanit (SSH->tunnel->gateway->loopback http)	plan P13 inbox bildirim beklentisi ve P11 preview; UI testleri headless kalite korumasi	80/80 + lint 0; GatewayTunnelLiveTest preview marker dogruladi (127.0.0.1:8899)	FCM geldiginde polling bildirimi push ile degisecek
